Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:37   2.3   0.0   0.4  97.3   0.0    3   5479   4316    0    0    0 124.64    0.07  62.76   3.75  61.88  0.00 Hz   -N/A-
23:14:38   0.2   0.0   0.1  99.7   0.0    1   7800   4293    8    4    8 120.47    0.07  58.60   0.57  61.88  0.00 Hz   -N/A-
23:14:39   2.6   0.0   0.5  96.9   0.0    4   5397   5718    0    0    0 126.37    0.07  64.07   2.42  62.30  0.00 Hz   -N/A-
23:14:40   3.5   0.0   0.6  95.8   0.0    4   4168   4835    0    0    0 127.32    0.07  65.49   3.79  61.82  0.00 Hz   -N/A-
23:14:41   3.6   0.0   0.7  95.7   0.0    4   4004   4927    0    0    2 127.53    0.07  65.72   3.79  61.81  0.00 Hz   -N/A-
23:14:42   3.5   0.0   0.6  95.8   0.0    5   4112   5039    0    0    0 127.30    0.07  65.49   3.77  61.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:43   3.6   0.0   0.7  95.7   0.0    4   4135   5092    0    0    0 127.55    0.07  65.73   3.77  61.82  0.00 Hz   -N/A-
23:14:44   3.6   0.0   0.7  95.8   0.0    4   4792   6009    6    2    5 127.42    0.07  65.51   3.77  61.90  0.00 Hz   -N/A-
23:14:45   3.3   0.0   1.0  95.7   0.0    4   4834  13527    0    0    0 132.56    0.07  68.77   3.77  63.79  0.00 Hz   -N/A-
23:14:46   3.5   0.0   0.6  95.8   0.0    4   4156   5009    0    0    0 127.41    0.08  65.52   3.77  61.89  0.00 Hz   -N/A-
23:14:47   2.6   0.0   0.4  97.0   0.0    3   5265   4541    0    0    0 125.32    0.07  63.49   1.49  61.82  0.00 Hz   -N/A-
23:14:48   1.8   0.0   0.3  97.9   0.0    3   6048   4168    0    0    0 123.61    0.07  61.79   0.14  61.82  0.00 Hz   -N/A-
23:14:49   3.0   0.0   0.5  96.5   0.0    4   4709   4262    0    0    0 126.12    0.07  64.30   2.41  61.82  0.00 Hz   -N/A-
23:14:50   3.5   0.0   0.6  95.8   0.0    4   4154   4537    0    0    0 127.27    0.07  65.46   3.76  61.82  0.00 Hz   -N/A-
23:14:51   3.7   0.0   0.6  95.7   0.0    4   4127   4883    0    0    0 127.53    0.07  65.71   3.76  61.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
